Codigo,Clase,Familia,Descripcion,Tallas,Marca,Color,Composicion,Precio_reg,Precio_final
334939,PLAYERA JUVENIL,PLAYERA REGULAR MC,PLAYERA AEROPOSTAL FM,50/70/90/110/130,AEROPOSTALE,VARIOS,ALGODON 100%.,519,49
334947,BLUSA JUVENIL,MODA MC,SS26 BLUSA  COLOR BEIGE CON RAYAS VERDES SILUETA TIPO CROP CON JARETAS AL FRENTE,70/90/110/130/150,JENNIFER LOPEZ,BEIGE,POLYESTER 100%.,299,299
334967,VERANO JUVENIL,FALDA,ECOMM  RTF  FALDA LARGA CON ABERTURA AL FRENTE,70/90/110,HYFVE DOUBLE ZERO,AZUL,ALGODON 70%. POLIESTER 30%.,399,399
334970,INVIERNO LIGERO,PLAYERA ML,PLAYERA AEROPOSTALE FM,50/70/90/110/130,AEROPOSTALE,VARIOS,ALGODON 100%.,279,9
334972,BOLSAS,CRUZADA,FM BOLSA CROSSBODY STEVE MADDEN,10,STEVE MADDEN,BLACK,SINTETICO 100%.,1399,729
334976,INVIERNO LIGERO,CHAMARRA LIGERA,FM GABARDINA COLOR BEIGE,70/90/110,TOP SEVEN,BEIGE,POLIESTER 100%.,399,399
334977,VESTIDO JUVENIL,FORMAL,FM VESTIDO FORMAL SM COLOR NEGRO,70/90/110,TOP SEVEN,NEGRO,POLIESTER 100%.,249,249
334982,BOTTOMS JUVENIL,MEZCLILLA,FW 26  JEANS BAGGY CON CINTURON COLOR STONE,50/70/90/110/130,FOREVER 21,STONE,ALGODON 73 %. POLIESTER 25 %. ELASTANO 2 %.,599,599
335012,INVIERNO LIGERO,SUDADERA LIGERA,"FM SUDADERA LIGERA CON ESTAMPADO, COLOR NEGRO",70/90/110,TOP SEVEN,NEGRO,POLIESTER 100%.,149,149
335019,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO CORTO  AJUSTADO  DE TIRANTES,70/90/110,HYFVE DOUBLE ZERO,ROSA,POLIESTER 95%. ELASTANO 5%.,399,399
335022,BOTTOMS JUVENIL,MEZCLILLA,FW 26 JEANS FLARE COLOR STONE,50/70/90/110/130,FOREVER 21,STONE,ALGODON 75 %. POLIESTER 23 %. ELASTANO 2 %.,449,449
335031,INVIERNO LIGERO,SUDADERA LIGERA,FM SUDADERA LIGERA COLOR GRIS,50/70/90/110/130,TOP SEVEN,GRIS,POLIESTER 100%.,149,149
335049,BOTTOMS JUVENIL,MEZCLILLA,FW 26  SKINNY JEANS  COLOR BLEACH,50/70/90/110/130,FOREVER 21,BLEACH,ALGODON 70 %. POLIESTER 27 %. ELASTANO 3 %.,399,399
335051,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO A MEDIA PANTORRILA  AJUSTADO  DE TIRANTES  DISEÑÑO FLORAL,70/90/110,HYFVE DOUBLE ZERO,VERDE,POLIESTER 100%.,399,399
335072,BLUSA JUVENIL,BASICA SM,BLUSA BASICA SIN MANGAS MARCA SAHARA COLOR ARENA CUELLO ALTO Y BOTONES EN HOMBROS,70/90/110/130/150,SAHARA,PALO DE ROSA,POLIESTER 100%.,219,99
335075,BOLSAS,CRUZADA,"FM, SET DE 3 BOLSAS PARA VIAJE CON ESTAMPADO DE LEPOARDO EN TONOS BLANCO Y CAFE",10,PRETTY SIMPLE,ASSORTED,POLYESTER 100%.,199,199
335084,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA MINNIE VESTIDO ROJO, MANGA CORTA, COLOR GRIS OXFORD",70/90/110,DISNEY MINNIE MOUSE,GRIS OXFORD,ALGODON 50 %. POLIESTER 50 %.,99,99
335105,INVIERNO,CHAMARRA SINTETICA,"FM. CHAMARRA TIPO LANA, SOLAPA ASIMETRICA CON CREMALLERA Y CINTO DECORATIVO, EN COLORES ROJO, GRIS, CAFÉ Y NEGRO.",70/90/110/130,NEW LOOK,ASSORTED,POLYESTER 100 %.,449,449
335115,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM RTF  VESTIDO A MEDIA PANTORRILLA AJUSTADO  DE TIRANTES  DISEÑO FLORAL,70/90/110,HYFVE DOUBLE ZERO,NARANJA,POLIESTER 100%.,399,399
335119,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL CARLA NEGRO,10,GUESS FACTORY,NEGRO,PVC 100 %.,2199,2199
335138,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA MANGA CORTA, CUELLO REDONDO (HEY MICKEY, COLOR ROJO",70/90/110/130,DISNEY MICKEY MOUSE,ROJO,ALGODON 100 %.,99,99
335141,BOTTOMS JUVENIL,MODA,FW 26  PANTALON FLARE BRILLOS COLOR NEGRO,50/70/90/110/130,FOREVER 21,NEGRO,POLIAMIDA 77 %. LUREX 20 %. ELASTANO 3 %.,349,349
335143,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA MINNIEMICKEY LOVE, MANGA CORTA, COLOR ROJO",70/90/110/130,DISNEY MINNIE MOUSE,ROJO,ALGODON 50 %. POLIESTER 50 %.,99,99
335144,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA MANGA CORTA (MICKEY CON OSO), COLOR ROJO",110/130/150/170,DISNEY MICKEY MOUSE,ROJO,ALGODON 100 %.,99,99
335145,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA DAMA MANGA CORTA, CUELLO V, COLOR VERDE OLIVO",70/90/110/130,EMOCIONES,VERDE OLIVO,ALGODON 100 %.,79,79
335146,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA DAMA MANGA CORTA, CUELLO V, COLOR LADRILLO",70/90/110,EMOCIONES,LADRILLO,ALGODON 100 %.,79,79
335152,UNIFORMES COPPEL,DAMAS,BLUSA TELCEL ML NO SE COMPRA YA EN ESTE SKU PASA A MERMA OCT 2023,280/300/320/340/360/380/400/420/440,LIZAO,AZUL CIELO,ALGODON 100%.,409,409
335154,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA DAMA MANGA CORTA, CUELLO V, COLOR GRIS JASPE",50/70/90/110/130,EMOCIONES,GRIS,ALGODON 100 %.,79,79
335169,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL CARLA BLANCO ESTAMPADO,10,GUESS FACTORY,BLANCO,PVC 100 %.,2199,2199
335173,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO CORTO STRAPLESS  DISEÑO FLORAL,70/90/110,HYFVE DOUBLE ZERO,MULTICOLOR,POLIESTER 100%.,399,399
335174,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA DAMA MANGA CORTA, CUELLO V, COLOR CORAL",70/90,EMOCIONES,CORAL,ALGODON 100 %.,79,79
335181,PLAYERA JUVENIL,PLAYERA REGULAR MC,FW 26  PLAYERA CUADRADA EFECTO LAVADO CON ESTAMPADO Y APLICACIÓN  DE ESTRELLA,70/90/110/130,FOREVER 21,NEGRO,ALGODON 100 %.,249,249
335184,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,"FM PLAYERA DAMA MANGA CORTA, CUELLO REDONDO, VCOLOR MARFIL, FRESA Y BLANCO",50/110/130/150,EMOCIONES,VARIOS,ALGODON 50 %. POLIESTER 50 %.,79,79
335186,VERANO JUVENIL,FALDA,"DAR DE BAJA, SE CAMBIO DE FAMILIA.",70/90/110/130,FOREVER 21,CAFE,VISCOSA 55 %. POLIESTER 45 %.,399,399
335193,UNIFORMES COPPEL,DAMAS,PANTALON PARA UNIFORME,5/7/9/11/13/50/70/90/110/130/300/320/340/360,OGGI,AZUL,ALGODON 100%.,419,419
335198,VERANO JUVENIL,SHORT,"DAR DE BAJA , SE CAMBIO DE FAMILIA.",70/90/110/130,FOREVER 21,NEGRO,POLIESTER 100 %.,399,399
335200,BLUSA JUVENIL,MODA MC,SS26 BLUSA MC 18 FOREVER BLANCA MANGA GLOBO TELLA SWEET DOTS CON ALETILLA Y JARETAS EN CINTURA Y ESCOTE,70/90/110/130/150,18 FOREVER,BLANCO,COTTON 100%.,299,299
335201,VERANO JUVENIL,SHORT,FW 26  SHORT PU BOTONES  COLOR NEGRO,70/90/110/130,FOREVER 21,NEGRO,POLIESTER 100 %.,349,349
335203,BOLSAS,DE MANO,ECOMM BOLSA SATCHEL CARLA AZUL ESTAMPADO,10,GUESS FACTORY,AZUL,PVC 100 %.,2199,2199
