Codigo,Clase,Familia,Descripcion,Tallas,Marca,Color,Composicion,Precio_reg,Precio_final
300028,BOLSAS,DE MANO,FW26 BOLSA CRUZADA CON FULL PRINT COLOR CAFE CON HERRAJES DORADOS MARCA JLO,10,JENNIFER LOPEZ,BROWN,SYNTHETIC 100%.,549,549
300039,BOLSAS,DE MANO,ECOM BOLSA GUESS FACTORY HAYWORTH SATCHEL COLOR CAFE MEDIO,10,SIN MARCA,CAFE,PVC 100 %.,2599,2599
300042,BOLSAS,DE MANO,ECOM BOLSA GUESS FACTORY NICHOLE SATCHEL,10,GUESS FACTORY,NEGRO,PVC 100 %.,2499,2499
300064,BOLSAS,DE MANO,ECOM BOLSA GUESS FACTORY NICHOLE SATCHEL,10,GUESS FACTORY,CAFE,PVC 100 %.,2499,2499
300069,BOLSAS,MOCHILA,BOLSA DAMA ESTILO BACK PACK. COLORES NEGRO Y ROJO,10,CLX BY CHRISTIAN LACROIX,ASSORTED,POLYESTER 100%.,549,549
300073,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA DAMA CUELLO REDONDO COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,COTTON 60%. POLYESTER 35%. SPANDEX 5%.,229,229
300078,BLUSA JUVENIL,MODA SM,ECOMM  CHALECO CORTO DE MEZCLILLA  AZUL CLARO  DESLAVADO,70/90/110/130,BEBE,AZUL MEZCLILLA,ALGODON 100%.,459,459
300080,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA DAMA CUELLO REDONDO COLOR OLIVO,70/90/110,POOF NEW YORK,OLIVO,COTTON 60%. POLIESTER 35%. SPANDEX 5%.,229,229
300088,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CUELLO CON APERTURA EN ESPALDA COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,POLYESTER 60%. RAYON 35%. SPANDEX 5%.,199,89
300090,BOLSAS,CRUZADA,"BOLSA DAMA TIPO CARTERA CON ZIPPER QUE CUBRE TODO ALDEDOR. COLORES NEGRO, ROJO OSCURO, NEGRO CON DISEÑO Y AZUL CLARO.",10,FRENCH CONNECTION,ASSORTED,POLYESTER 100%.,349,149
300091,BLUSA JUVENIL,MODA SM,ECOMM  CHALECO CORTO DE MEZCLILLA  AZUL DESLAVADO,70/90/110/130,BEBE,AZUL MEZCLILLA,ALGODON 100%.,459,459
300092,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CON ELASTICO EN MANGAS COLOR NEGRA,70/90/110,POOF NEW YORK,BLACK,COTTON 100%.,299,149
300093,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CON ELASTICO EN MANGAS COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,COTTON 100%.,299,149
300094,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CON ELASTICO EN MANGAS COLOR LAVANDA,70/90/110,POOF NEW YORK,LAVANDA,COTTON 100%.,299,119
300095,BOLSAS,CRUZADA,"BOLSA DAMA ACOLCHADA ESTILO CROSSBODY. COLORES NEGRO, NEUTRAL Y ROJO",10,CLX BY CHRISTIAN LACROIX,ASSORTED,POLYESTER 100%.,549,549
300096,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS CON OLAN EN LA PARTE DE ABAJO COLOR NEGRA,90/110,POOF EXCELLENCE,BLACK,NYLON 94%. SPANDEX 6%.,129,89
300098,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS CON OLAN EN LA PARTE DE ABAJO COLOR BLANCA,90/110,POOF EXCELLENCE,WHITE,NYLON 94%. SPANDEX 6%.,129,89
300099,BOLSAS,CRUZADA,"BOLSA DE HOMBRO PARA DAMA, CON CADENA. COLORES NEGRO, NEUTRAL, ROJO Y CAFÉ CLARO",10,CLX BY CHRISTIAN LACROIX,ASSORTED,POLYESTER 100%.,559,559
300100,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  VESTIDO DE MEZCLILLA AZUL CLARO  DE TIRANTES Y FALDA A LA PANTORILLA  EXCUSIVO .COM JLO,70/90/110,JENNIFER LOPEZ,AZUL MEZCLILLA,LYOCEL 100%.,699,699
300101,BLUSA JUVENIL,MODA SM,ECOMM  CHALECO CORTO DE MEZCLILLA  GRIS  DESLAVADO,70/90/110/130,BEBE,GRIS,ALGODON 100%.,459,459
300104,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS CON OLAN EN LA PARTE DE ABAJO COLOR ROSA,90/110,POOF EXCELLENCE,PINK,NYLON 94%. SPANDEX 6%.,129,49
300113,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS COLOR NEGRA,70/90/110,POOF NEW YORK,BLACK,POLIESTER 92%. SPANDEX 8%.,169,79
300115,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,POLIESTER 92%. SPANDEX 8%.,169,89
300118,VESTIDO JUVENIL,VESTIDO CASUAL,VESTIDO DE TIRANTES CON ESTAMPADO DE FIGURAS COLOR NEGRO,70/90/110,POOF NEW YORK,BLACK,COTTON 60%. POLIESTER 40%.,199,149
300123,BLUSA JUVENIL,MODA SM,ECOMM  BLUSA TIPO CORSET CON DETALLES DE IMITACIÓN DIAMANTE,70/90/110/130,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300124,VESTIDO JUVENIL,VESTIDO CASUAL,VESTIDO CORTO CON BLUSA SOBREPUESTA COLOR NEGRO,70/90/110,SIN MARCA,BLACK,POLIESTER 60%. RAYON 35%. SPANDEX 5%.,299,149
300125,VESTIDO JUVENIL,VESTIDO CASUAL,VESTIDO CORTO CON BLUSA SOBREPUESTA COLOR AMARILLO,70/90/110,SIN MARCA,YELLOW,POLIESTER 60%. RAYON 35%. SPANDEX 5%.,299,219
300126,BOLSAS,DE MANO,"BOLSA DAMA CON ASA Y CORREA. COLORES NEGRO, NAVY Y ROJO",10,LONDON FOG,ASSORTED,POLIESTER 100%.,579,399
300128,VESTIDO JUVENIL,VESTIDO CASUAL,VESTIDO CORTO CON BLUSA SOBREPUESTA COLOR ROSA,70/90/110,SIN MARCA,PINK,POLIESTER 60%. RAYON 35%. SPANDEX 5%.,299,149
300133,BLUSA JUVENIL,MODA SM,ECOMM  BLUSA TIPO CORSET CON DETALLES DE IMITACIÓN DIAMANTES,70/90/110/130,SIN MARCA,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300134,BOLSAS,DE MANO,"BOLSA DAMA CON ASA Y LOGO AL FRENTE. COLORES NEGRO, CAFÉ CLARO",10,SIN MARCA,ASSORTED,POLIESTER 100%.,599,599
300135,BOLSAS,MOCHILA,ECOM BOLSA GUESS FACTORY HOLEMAN MOCHILA,10,GUESS FACTORY,NEGRO,PVC 100 %.,2399,2399
300136,BLUSA JUVENIL,MODA SM,ECOMM BLUSA TIPO CORSET DE TIRANTES DELGADOS CON DETALLES DE DIAMANTES IMITACIÓN,70/90/110/130,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300139,BOLSAS,MOCHILA,ECOM BOLSA GUESS FACTORY HOLEMAN MOCHILA,10,GUESS FACTORY,CAFE,PVC 100 %.,2399,2399
300140,INVIERNO LIGERO,BLUSA INVIERNO,BLUSA CORTA MANGA LARGA COLOR NEGRA,70/90/110,POOF NEW YORK,BLACK,POLIESTER 92%. SPANDEX 8%.,299,159
300141,INVIERNO LIGERO,BLUSA INVIERNO,BLUSA CORTA MANGA LARGA COLOR GRIS,70/90/110,POOF NEW YORK,GREY,POLIESTER 92%. SPANDEX 8%.,299,199
300142,INVIERNO LIGERO,BLUSA INVIERNO,BLUSA CORTA MANGA LARGA COLOR NARANJA,70/90/110,POOF NEW YORK,ORANGE,POLIESTER 92%. SPANDEX 8%.,299,149
300146,BOLSAS,MOCHILA,ECOM BOLSA GUESS FACTORY HOLEMAN MOCHILA,10,GUESS FACTORY,ROSA,PVC 100%.,2299,2299
300181,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA CUELLO RECTO COLOR GRIS,70/90/110/130,DEREK HEART,GRIS,COTTON 91%. SPANDEX 9%.,229,159
300191,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA CUELLO RECTO COLOR FUCSIA,70/90/110/130,DEREK HEART,FUSCIA,COTTON 91%. SPANDEX 9%.,229,69
300197,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,PLAYERA MARCA REFIL RAYAS BLANCAS Y AZULES,50/70/90/110/130/150,REFILL,MULTICOLOR,ALGODON 94%. ELASTANO 6%.,179,179
300204,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA CON DETALLE DE BLUSA ADICIONAL COLOR GRIS,70/90/110/130,DEREK HEART,GREY,POLIESTER 92%. SPANDEX 8%.,269,179
300206,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,PLAYERA MARCA REFIL DE RAYAS BLANCAS Y NEGRAS,70/90/110/130/150,REFILL,MULTICOLOR,ALGODON 48%. POLIESTER 48%. ELASTANO 4%.,149,149
300209,BOLSAS,DE HOMBRO,ECOM BOLSA GUESS FACTORY DELPHINE TOTE,10,GUESS FACTORY,NEGRO,PVC 100 %.,2599,2599
300210,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA CON DETALLE DE BLUSA ADICIONAL COLOR NEGRA,70/90/110/130,DEREK HEART,BLACK,POLIESTER 92%. SPANDEX 8%.,269,119
300217,PLAYERA JUVENIL,PLAYERA POLO,PLAYERA POLO MARCA REFIL COLOR ROSA,70/90/110/130,REFILL,ROSA,ALGODON 48%. POLIESTER 48%. ELASTANO 4%.,229,229
300222,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  VESTIDO DE MEZCLILLA  DE TIRANTES  FALDA A LA PANTORRILLA  EXCLUSIVO .COM JLO,70/90/110,JENNIFER LOPEZ,AZUL MEZCLILLA,LYOCEL 100%.,699,699
300229,BLUSA JUVENIL,BASICA ML,BLUSA MANGA LARGA CUELLO REDONDO COLOR BLANCA,70/90/110/130,DEREK HEART,WHITE,POLIESTER 92%. SPANDEX 8%.,199,149
300233,BLUSA JUVENIL,BASICA ML,BLUSA MANGA LARGA CUELLO REDONDO COLOR CAFE,70/90/110/130,DEREK HEART,BROWN,POLIESTER 92%. SPANDEX 8%.,199,89
300239,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO SEÑORA,"FM, TRAJE DE BAÑO COMPLETO, SIMULANDO UNA BLUSA Y CALZON POR SEPARADO EN TONO ROJO",380/400/420/440,SIN MARCA,RED,POLIAMIDA 82%. ELASTANO 18%.,299,299
300247,PLAYERA JUVENIL,PLAYERA ECONOMICA SM,PLAYERA SISADA MARCA REFIL RAYAS BLANCAS CON NEGRAS,70/90/110/130,REFILL,MULTICOLOR,ALGODON 48%. POLIESTER 48%. ELASTANO 4%.,149,99
300250,BLUSA JUVENIL,BASICA ML,BLUSA MANGA LARGA CUELLO REDONDO COLOR NEGRA,70/90/110/130,DEREK HEART,BLACK,POLIESTER 92%. SPANDEX 8%.,199,149
300254,BLUSA JUVENIL,MODA SM,ECOMM BLUSA TIPO CORSET DE TIRANTES DELGADOS CON DETALLES DE DIAMANTES IMITACIÓN,70/90/110/130,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300264,ACCESORIOS,CARTERA,ECOMM: CARTERA GRANBY SLG SLIM CLUTCH COLOR ROSA ESTAMPADO,10,GUESS FACTORY,ROSA,PVC 100%.,999,999
300266,BLUSA JUVENIL,MODA SM,ECOMM  BLUSA DE TIRANTES TIPO CORSET CON BOTONES,70/90/110/130,BEBE,NEGRO,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300271,BLUSA JUVENIL,MODA SM,FF STRONA SHOT 2 TOP CON CORTE ASIMETRICO ABERTURA EN COSTADO CON JARETA AJUSTABLE COLOR VINO,70/90/110/130,STRONA FAST FASHION,VINO,POLIESTER 80%. ELASTANO 20%.,199,199
300276,ACCESORIOS,CARTERA,ECOMM:CARTERA GRANBY SLG SLIM CLUTCH COLOR NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100%.,999,999
300284,ACCESORIOS,CARTERA,ECOMM:CARTERA GRANBY SLG SLIM CLUTCH COLOR BLANCO ESTAMPADO,10,GUESS FACTORY,BLANCO,PVC 100%.,999,999
300286,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO SEÑORA,"FM, TRAJE DE BAÑO COMPLETO COLOR AZUL CON ESTAMPADO DE FLORES BLANCAS",320/340/360/380/400,SIN MARCA,BLUE,POLIAMIDA 82 %. ELASTANO 18 %.,299,299
300288,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO JUVENIL,"FM, TRAJE DE BAÑO CON ESCOTE EN V COLOR NEGRO",320/340/360/380,SIN MARCA,BLACK,POLIAMIDA 82 %. ELASTANO 18 %.,299,299
300289,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO JUVENIL,"FM, TRAJE DE BAÑO A CUADROS COLOR ROJO Y BLANCO",50/70/90/110,SIN MARCA,RED,POLIAMIDA 82 %. ELASTANO 18 %.,299,299
300293,BLUSA JUVENIL,MODA SM,ECOMM  BLUSA DE TIRANTES TIPO CORSET CON BOTONES,70/90/110/130,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300297,BLUSA JUVENIL,MODA SM,FM BLUSA TIPO BOXY CROP Y TOP TEJIDO SM CV,70/90/110,LULUMARI,VARIOS,POLIESTER 50%. LINO 50%.,129,89
300300,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA COLOR BLANCA CON ELASTICO EN MANGAS Y COPAS,70/90/110/130,DEREK HEART,WHITE,POLIESTER 97%. SPANDEX 3%.,269,129
300301,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA COLOR AZUL CON ELASTICO EN MANGAS Y COPAS,70/90/110/130,DEREK HEART,BLUE,POLIESTER 97%. SPANDEX 3%.,269,99
300306,BLUSA JUVENIL,MODA SM,BLUSA DE TIRANTES COLOR NEGRA,70/90/110/130,DEREK HEART,BLACK,POLIAMIDA 73%. METAL 27%.,229,119
300308,BLUSA JUVENIL,MODA SM,BLUSA DE TIRANTES COLOR GRIS,70/90/110/130,DEREK HEART,GRIS,POLIESTER 95%. SPANDEX 5%.,229,119
300313,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO JUVENIL,"FM, BIKINI 2 PIEZAS CON FORMA DE TRIANGULO EN COLOR BURGUNDY",50/70/90/110,SIN MARCA,BURGUNDY,POLIAMIDA 82 %. ELASTANO 18 %.,299,299
300314,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO JUVENIL,"FM,  BIKINI 2 PIEZAS COLOR NEGRO",50/70/90/110,SIN MARCA,BLACK,POLIAMIDA 82%. ELASTANO 18%.,299,299
300315,BLUSA JUVENIL,MODA SM,BLUSA DE TIRANTES COLOR INDIGO,70/90/110/130,DEREK HEART,INDIGO,POLIESTER 95%. SPANDEX 5%.,229,179
300316,BLUSA JUVENIL,MODA SM,ECOMM  BLUSA DE TIRANTES TIPO CORSET CON BOTONES,70/90/110/130,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300318,BLUSA JUVENIL,MODA SM,BLUSA DE TIRANTES CON ELASTICO A LAS ORILLAS COLOR GRIS,70/90/110/130,DEREK HEART,GRIS,POLIESTER 95%. SPANDEX 5%.,249,119
300326,PLAYERA JUVENIL,PLAYERA REGULAR SM,PLAYERA DE TIRANTES TEJIDA DE PUNTO COLOR BEIGE MARCA JLO,50/70/90/110,JENNIFER LOPEZ,BEIGE,VISCOSA 100%.,299,149
300327,BOLSAS,DE MANO,BOLSA DE MANO COLOR CAFE CON STRAPS EN CONTRASTE HERRAJES EN DORADO MARCA JENNIFER LOPEZ,10,JENNIFER LOPEZ,BROWN,SYNTHETIC 100%.,599,599
300328,PLAYA ROPA  Y TRAJE DE BAN,TRAJE DE BAÑO JUVENIL,"FM, BIKINI 2 PIEZAS COLOR AZUL",50/70/90/110,SIN MARCA,BLUE,POLIAMIDA 82 %. ELASTANO 18 %.,299,299
300330,PLAYERA JUVENIL,PLAYERA ECONOMICA SM,PLAYERA SIN MANGA AMARILLA MARCA 18 FOREVER,70/90/110/130,18 FOREVER,AMARILLO,ALGODON 48%. POLIESTER 48%. ELASTANO 4%.,149,99
300332,INVIERNO,ABRIGO,OTB FW25 ABRIGO DE PELUCHE  COLOR IVORY CON BOLSAS Y  BROCHE MARCA JLO,70/90/110,JENNIFER LOPEZ,IVORY,POLIESTER 100%.,999,699
300335,BLUSA JUVENIL,MODA SM,BLUSA DE TIRANTES CON ELASTICO A LAS ORILLAS COLOR CAFE,70/90/110/130,DEREK HEART,BROWN,POLIESTER 95%. SPANDEX 5%.,249,129
300339,BOLSAS,DE MANO,FW26 BOLSA DE MANO DE NYLON COLOR BEIGE CON HERRAJES DORADOS MARCA PERRY ELLIS,10,PERRY ELLIS,BEIGE,NYLON 100%.,549,549
300340,ACCESORIOS,CARTERA,ECOMM: CARTERA ISABELLA SLG MEDIUM ZIP AROUND COLOR NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100%.,1199,1199
300343,ACCESORIOS,CARTERA,ECOMM: CARTERA ISABELLA SLG MEDIUM ZIP AROUND COLOR CAFÉ ESTAMPADO,10,GUESS FACTORY,CAFE,PVC 100%.,1199,1199
300346,BOTTOMS JUVENIL,LEE,FW2026 JEANS CORTE SKINNY CON HAND SAND COLOR STONE MEDIO MARCA LEE,70/90/110/130/150,LEE,STONE,ALGODON 97%. ELASTANO 3%.,779,779
300349,ACCESORIOS,CARTERA,FM CARTERA STEVE MADDEN,10,STEVE MADDEN,VARIOS,SINTETICO 100%.,499,499
300350,SOBREPRENDA,FIESTA JUVENIL,"VESTIDO MIDDI DE LENTEJUELAS BLANCO CON CUELLA HALTER, ESCOTE EN ESPALDA Y SURCIDO EN COSTADO DE CINTURA",50/70/90/110,JENNIFER LOPEZ,WHITE,POLYESTER 100%.,599,479
300359,BOLSAS,CRUZADA,"FM BOLSA CRUZADA, COLOR BLACK, LIME, PURPLE, PINK MULTI,TAPIOCA, RED, FROSTY GREEN, ORCHARD BOUQUET, PEAR SORBET",10,STEVE MADDEN,VARIOS,SINTETICO 100 %.,699,699
300364,INVIERNO LIGERO,PLAYERA ML,BLUSA JLO ROJA MANGA LARGA CUELLO DE TORTUGA LISA,70/90/110/130,JENNIFER LOPEZ,RED,POLYESTER 90%. ELASTANE 10%.,249,179
300365,INVIERNO,GABARDINA,TRENCH COAT JLO ANIMAL PRINT CON CINTURON LARGO A LA RODILLA,70/90/110,JENNIFER LOPEZ,ANIMAL PRINT,POLYESTER 100%.,1299,899
300366,BOLSAS,CRUZADA,"FM BOLSA CRUZADA STEVE MADDEN, COLOR BLACK, VANILLA,SADDLE, PANNA COTTA",10,STEVE MADDEN,VARIOS,SINTETICO 100%.,949,949
300371,INVIERNO,SUETER,SUETER JLO COLOR KAKI CON CUELLO DE TORTUGA Y PLIEGUES EN PUÑOS Y PARTE DE ABAJO,50/70/90/110/130,JENNIFER LOPEZ,KAKY,ACRYLIC 45%. NYLON 35%. POLYESTER 20%.,549,399
300375,BOLSAS,DE HOMBRO,FM CLON 337257 BOLSA BEBE DE HOMBRO CON ESTAMPADO HEIGHT: 27CMLENGHT: 30CMWIDTH: 13CMHANDLE LENGHT:69CM,10,BEBE,PINK,POLYURETHANE 100%.,299,299
300379,VESTIDO JUVENIL,VESTIDO CASUAL,FM VESTIDO TEJIDO SM CUELLO ALTO MIDI,70/90/110,LULUMARI,NEGRO,POLIESTER 100%.,299,119
300380,BOLSAS,CRUZADA,FM CLON 372126 BOLSA PU CAPITONADA CON MONEDERO MISMO MATERIAL MEDIDAS 20*6*12,10,BEBE,NEGRO,POLIURETANO 100%.,399,239
300389,BOLSAS,DE MANO,FW2026 BOLSA DE MANO TIPO MALETIN Y TIRANTE LARGO TIPO CROSSBODY,10,JENNIFER LOPEZ,CHOCOLATE,SYNTHETIC 100%.,449,449
300390,BOLSAS,CRUZADA,"FM BOLSA CRUZADA STEVE MADDEN, COLOR BLACK/GOLD, BLACK, GOLD, WHITE, NAVY, BLK/SIL",10,STEVE MADDEN,VARIOS,SINTETICO 100 %.,1149,1149
300394,BOLSAS,CRUZADA,"FM BOLSA CRUZADA STEVE MADDEN, COLOR BLACK, DENIM, BLK/DENIM, BEIGE",10,STEVE MADDEN,VARIOS,SINTETICO 100 %.,1249,1249
300396,BOLSAS,CRUZADA,"FM BOLSA CRUZADA STEVE MADDEN, COLOR BLACK, BLACK MULTI, PLUM, GOLD, TAUPE, BLACK/GOLD, SILVER, WHITE, TAN, OLIVE",10,STEVE MADDEN,VARIOS,SINTETICO 100%.,1349,1349
300398,BOLSAS,CRUZADA,"FM BOLSA CRUZADA STEVE MADDEN, COLOR BLACK/WHITE, BLACK/SILVER, BLACK/GOLD, BLACK, LEOPARD",10,STEVE MADDEN,VARIOS,SINTETICO 100%.,1449,1449
300400,BOLSAS,DE MANO,"FM BOLSA DE MANO STEVE MADDEN, COLOR DENIM, BLACK/WHITE, VANILLA, BLACK, LIPSTICK RED, BLACK MULTI, OAT MILK",10,STEVE MADDEN,VARIOS,SINTETICO 100 %.,749,749
300401,BOLSAS,DE MANO,"FM BOLSA DE MANO STEVE MADDEN, COLOR SILVER, BLACK, BLUE, BLACK MULTI",10,STEVE MADDEN,VARIOS,SINTETICO 100 %.,1099,1099
300405,BOLSAS,DE MANO,FM BOLSA DE MANO,10,STEVE MADDEN,VARIOS,SINTETICO 100 %.,1549,1549
300422,BOTTOMS JUVENIL,MEZCLILLA,ECOMM  PANTALON DE MEZCLILLA  PIERNA ANCHA,250/260/270/280/290/300/310/320,BEBE,INDIGO,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,499,499
300423,BOTTOMS JUVENIL,MEZCLILLA,ECOMM  PANTALON DE MEZCLILLA  PIERNA ANCHA,250/260/270/280/290/300/310/320,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,499,499
300424,BOTTOMS JUVENIL,MEZCLILLA,ECOMM  PANTALON DE MEZCLILLA  PIERNA ANCHA,250/260/270/280/290/300/310/320,BEBE,GRIS,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,499,499
300432,BOLSAS,DE MANO,FW26 BOLSA DE MANO CUADRADA CON BORDE CURVO COLOR CAFE CON BOLSA EXTERIOR FRONTAL CON CIERRE DE HEBILLA DE BOTON MARCA JLO,10,JENNIFER LOPEZ,BROWN,SYNTHETIC 100%.,549,549
300434,BOTTOMS JUVENIL,MEZCLILLA,ECOMM  PANTALON DE MEZCLILLA   PIERNA RECTA,250/260/270/280/290/300/310/320,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,499,499
300441,BOLSAS,DE MANO,FW26 BOLSA DE NYLON COLOR NEGRO CON HERRAHES AL TONO MARCA POLO UNION CLUB,10,POLO UNION CLUB,BLACK,NYLON 100%.,599,599
300444,BOLSAS,DE MANO,"FW26 BOLSA NEGRA TRAPECIO DE PU CON DETALLES DE CINTURON EN LA PARTE FRONTAL Y TRASERA, CIERRE DE BOTON",10,JENNIFER LOPEZ,BLACK,SYNTHETIC 100%.,649,649
300448,ACCESORIOS,CARTERA,ECOM CARTERA GUESS FACTORY SAFFRON ORGANIZADOR DE TELÉFONO,10,GUESS FACTORY,CAFE,PVC 100 %.,1199,1199
300449,BOLSAS,DE MANO,FW26 BOLSA RECTANGULAR CAFE CAPITONADO DE ROMBOS DETALLES METALICOS DORADOS CON PLACA DE LA MARCA ENFRENTE,10,BEBE DTR,CHOCOLATE,POLYVINYL 100%.,549,549
300453,ACCESORIOS,CARTERA,ECOMM: CARTERA ISABELLA SLG SLIM CLUTCH COLOR NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100%.,999,999
300454,ACCESORIOS,CARTERA,ECOM CARTERA GUESS FACTORY SAFFRON ZIP AROUND,10,GUESS FACTORY,NEGRO,PVC 100 %.,1099,759
300464,BOLSAS,DE MANO,"FW26 BOLSA CAFE CON ESTRUCTURA CUADRADA, TAG DE PU CON LA MARCA ENFRENTE AGARRADO POR DETALLES METALICOS POR DENTRO CONTIENE BOLSA DIVISORA DE ZIPPER",10,BEBE DTR,BLACK,SYNTHETIC 100%.,549,549
300471,UNIFORMES COPPEL,DAMAS,"SACO INVIERNO BANCOPPEL SIN CUELLO, CON 3 BOTONES",240/260/280/300/320/340/360/380/400/420/440/460,SIMPLEMENTE ABC,AZUL MARINO,POLIESTER 100%.,344,344
300475,BOTTOMS JUVENIL,MEZCLILLA,ECOMM  PANTALON DE MEZCLILLA  PIERNA RECTA,250/260/270/280/290/300/310/320,BEBE,GRIS,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,499,499
300477,BOLSAS,CRUZADA,FW26 BOLSA DE PU CAFE CON STRAPS PARA USAR COMO MANO CON MONEDERO Y CHARM DE OSO EN ASAS,10,YORK TEAM POLO CLUB,BROWN,POLYURETHANE 100%.,499,499
300479,INVIERNO LIGERO,SUETER LIGERO,FM SUETER NEGRO CORTO Y SUETER ROMBOS,90/110/130,LULUMARI,VARIOS,ACRILICO 100%.,179,119
300484,BOTTOMS JUVENIL,MEZCLILLA,"PANTALON DE MEZCLILLA MARCA REFILL COLOR STONE FIT RECTO CON DOS BOLSAS AL FRENTE, DOS BOLSAS TRASERAS",50/70/90/110/130,REFILL,STONE,ALGODON 68%. POLIESTER 27%. RAYON 3%. ELASTANO 2%.,479,479
300485,ACCESORIOS,CARTERA,ECOM CARTERA GUESS FACTORY SAFFRON ORGANIZADOR DE TELÉFONO,10,GUESS FACTORY,NEGRO,PVC 100 %.,1199,1199
300487,ACCESORIOS,CARTERA,ECOMM: CARTERA ISABELLA SLG SLIM CLUTCH COLOR CAFÉ ESTAMPADO,10,GUESS FACTORY,CAFE,PVC 100%.,999,999
300489,UNIFORMES COPPEL,DAMAS,FALDA BANCOPPEL,240/260/280/300/320/340/360/380/400/420/440/460,SIMPLEMENTE ABC,AZUL MARINO,POLIESTER 100%.,248,248
300494,BOLSAS,CRUZADA,"FW26 BOLSA CRUZADA NEGRA BOLSA EXTERIOR CON CIERRE DE BOTON, DOS MONEDEROS FRONTALES DE ZIPPER Y DOS TARJETEROS FRONTALES CON STUDS METALICOS",10,LADY SUN,BLACK,SYNTHETIC 100%.,399,399
300496,BOTTOMS JUVENIL,MEZCLILLA,ECOMM  PANTALON DE MEZCLILLA  BOOTCUT,250/260/270/280/290/300/310/320,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,499,499
300497,UNIFORMES COPPEL,DAMAS,"PANTALÓN DE VESTIR, AZUL MARINO PARA DAMA BANCOPPEL",240/260/280/300/320/340/360/380/400/420/440/460,SIMPLEMENTE ABC,AZUL MARINO,POLIESTER 100%.,254,254
300503,ACCESORIOS,CARTERA,ECOMM: CARTERA REMY SLG PHONE ORGANIZER COLOR NEGRO,10,GUESS FACTORY,NEGRO,PVC 100%.,1199,1199
300508,ACCESORIOS,CARTERA,ECOM CARTERA GUESS FACTORY SAFFRON SLIM CLUTCH,10,GUESS FACTORY,NEGRO,PVC 100 %.,999,999
300509,BOLSAS,DE MANO,BOLSA DE MANO CON TRENZADO COLOR CHOCOLATE STRAPS MISMO MATERIAL TRENZADO MARCA JLO,10,JENNIFER LOPEZ,CHOCOLATE,PVC 100%.,449,449
300510,ACCESORIOS,CARTERA,ECOM CARTERA GUESS FACTORY SAFFRON ORGANIZADOR DE TELÉFONO,10,GUESS FACTORY,CAFE,PVC 100 %.,1199,1199
